3.300000, -19.475921, 1.046156
3.320000, -18.277115, 1.111549
3.340000, -17.003374, 1.173059
3.360000, -15.659148, 1.230413
3.380000, -14.249198, 1.283352
3.400000, -12.778584, 1.331629
3.420000, -11.252650, 1.375010
3.440000, -9.677005, 1.413283
3.460000, -8.057502, 1.446251
3.480000, -6.400220, 1.473743
3.500000, -4.711435, 1.495606
3.520000, -2.997597, 1.511716
3.540000, -1.265298, 1.521973
3.560000, 0.478755, 1.526304
3.580000, 2.227770, 1.524665
3.600000, 3.974907, 1.517041
3.620000, 5.713307, 1.503445
3.640000, 7.436128, 1.483920
3.660000, 9.136575, 1.458536
3.680000, 10.807934, 1.427392
3.700000, 12.443605, 1.390614
3.720000, 14.037131, 1.348351
3.740000, 15.582228, 1.300779
3.760000, 17.072812, 1.248094
3.780000, 18.503022, 1.190512
3.800000, 19.867248, 1.128268
3.820000, 21.160148, 1.061614
3.840000, 22.376668, 0.990815
3.860000, 23.512057, 0.916148
3.880000, 24.561886, 0.837902
3.900000, 25.522051, 0.756374
3.920000, 26.388792, 0.671869
3.940000, 27.158697, 0.584696
3.960000, 27.828709, 0.495169
3.980000, 28.396131, 0.403609
4.000000, 28.858633, 0.310335
4.020000, 29.214250, 0.215671
4.040000, 29.461391, 0.119943
4.060000, 29.598836, 0.023478
4.080000, 29.625739, -0.073397
4.100000, 29.541633, -0.170352
4.120000, 29.346423, -0.267057
4.140000, 29.040399, -0.363179
4.160000, 28.624227, -0.458387
4.180000, 28.098953, -0.552347
4.200000, 27.466010, -0.644725
4.220000, 26.727209, -0.735186
4.240000, 25.884748, -0.823396
4.260000, 24.941206, -0.909020
4.280000, 23.899546, -0.991727
4.300000, 22.763111, -1.071187
4.320000, 21.535621, -1.147075
4.340000, 20.221170, -1.219072
4.360000, 18.824217, -1.286864
4.380000, 17.349580, -1.350149
4.400000, 15.802422, -1.408636
4.420000, 14.188244, -1.462048
4.440000, 12.512861, -1.510121
4.460000, 10.782389, -1.552615
4.480000, 9.003223, -1.589308
4.500000, 7.182011, -1.620001
4.520000, 5.325627, -1.644522
4.540000, 3.441144, -1.662726
4.560000, 1.535800, -1.674498
4.580000, -0.383033, -1.679755
4.600000, -2.307891, -1.678444
4.620000, -4.231246, -1.670546
4.640000, -6.145550, -1.656075
4.660000, -8.043272, -1.635078
4.680000, -9.916932, -1.607634
4.700000, -11.759146, -1.573856
4.720000, -13.562652, -1.533885
4.740000, -15.320355, -1.487890
4.760000, -17.025352, -1.436069
4.780000, -18.670965, -1.378642
4.800000, -20.250772, -1.315853
4.820000, -21.758629, -1.247966
4.840000, -23.188692, -1.175260
4.860000, -24.535441, -1.098030
4.880000, -25.793691, -1.016585
